Base_LAD
11 de agosto de 2022 - 12 de novembro de 2025
Campanha,Tipo de campanha,Dia,Código da moeda,Custo,Conversões,Todas as conv.
red balloon | 2023 | pesquisa | df | mkt4,Pesquisa,2022-12-09,BRL,"25,18","0,00","0,00"
red balloon | 2023 | pesquisa | sp interior | mkt4,Pesquisa,2022-12-09,BRL,"54,38","1,00","1,00"
red balloon | 2023 | pesquisa | am | mkt4,Pesquisa,2022-12-09,BRL,"25,63","0,00","0,00"
red balloon | 2023 | pesquisa | rj | mkt4,Pesquisa,2022-12-09,BRL,"29,19","0,00","0,00"
red balloon | 2023 | pesquisa | pe | mkt4,Pesquisa,2022-12-09,BRL,"26,40","1,00","1,00"
red balloon | 2023 | pesquisa | mg | mkt4,Pesquisa,2022-12-09,BRL,"24,45","0,00","0,00"
red balloon | 2023 | pesquisa | ba | mkt4,Pesquisa,2022-12-09,BRL,"23,47","0,00","0,00"
red balloon | 2023 | pesquisa | ce | mkt4,Pesquisa,2022-12-09,BRL,"33,55","0,00","0,00"
red balloon | 2023 | pesquisa | rs | mkt4,Pesquisa,2022-12-09,BRL,"25,07","0,00","0,00"
red balloon | 2023 | pesquisa | pr | mkt4,Pesquisa,2022-12-09,BRL,"25,84","0,00","0,00"
red balloon | 2023 | pesquisa | go | mkt4,Pesquisa,2022-12-09,BRL,"26,12","1,00","1,00"
red balloon | 2023 | pesquisa | ms | mkt4,Pesquisa,2022-12-09,BRL,"30,67","0,00","0,00"
red balloon | 2023 | youtube | sp capital | mkt4,Vídeo,2022-12-09,BRL,"55,59","0,00","0,00"
red balloon | 2023 | youtube | rj | mkt4,Vídeo,2022-12-09,BRL,"27,33","0,00","0,00"
red balloon | 2023 | youtube | ce | mkt4,Vídeo,2022-12-09,BRL,"28,54","0,00","0,00"
red balloon | 2023 | youtube | pe | mkt4,Vídeo,2022-12-09,BRL,"93,26","0,00","0,00"
red balloon | 2023 | youtube | rs | mkt4,Vídeo,2022-12-09,BRL,"141,91","0,00","0,00"
red balloon | 2023 | youtube | pr | mkt4,Vídeo,2022-12-09,BRL,"28,20","0,00","0,00"
red balloon | 2023 | youtube | mt | mkt4,Vídeo,2022-12-09,BRL,"27,46","0,00","0,00"
red balloon | 2023 | youtube | ms | mkt4,Vídeo,2022-12-09,BRL,"27,34","0,00","0,00"
red balloon | 2023 | youtube | sp interior | mkt4,Vídeo,2022-12-09,BRL,"79,49","0,00","0,00"
red balloon | 2023 | youtube | am | mkt4,Vídeo,2022-12-09,BRL,"27,63","0,00","0,00"
red balloon | 2023 | youtube | mg | mkt4,Vídeo,2022-12-09,BRL,"26,94","0,00","0,00"
red balloon | 2023 | youtube | ba | mkt4,Vídeo,2022-12-09,BRL,"27,53","0,00","0,00"
red balloon | 2023 | youtube | go | mkt4,Vídeo,2022-12-09,BRL,"41,13","0,00","0,00"
red balloon | 2023 | youtube | df | mkt4,Vídeo,2022-12-09,BRL,"27,34","0,00","0,00"
red balloon | 2023 | discovery remarketing | sp | mkt4,Geração de demanda,2022-12-09,BRL,"35,14","0,00","0,00"
red balloon | 2023 | discovery remarketing | br | mkt4,Geração de demanda,2022-12-09,BRL,"1,78","0,00","0,00"
red balloon | 2023 | youtube remarketing | sp | mkt4,Vídeo,2022-12-09,BRL,"1,99","0,00","0,00"
red balloon | 2023 | display remarketing | br | mkt4,Display,2022-12-09,BRL,"39,92","0,00","0,00"
red balloon | 2023 | display remarketing | sp | mkt4,Display,2022-12-09,BRL,"71,49","0,00","0,00"
red balloon | 2023 | pmax | sp capital | mkt4,Performance Max,2022-12-09,BRL,"100,08","0,00","0,00"
red balloon | 2023 | pmax | sp interior | mkt4,Performance Max,2022-12-09,BRL,"98,78","2,00","2,00"
